id,name
1,EARTH
2,DHL
3,Aimpacific Services
4,Arranged by Vendor
5,Kuehne+Nagel
6,Windys Logistics INC
7,UPS
8,Turkish Airlines
9,Shipper Handling
10,SF Express
11,R&L Carriers
12,Ocean FRT
13,Matson
14,Maersk
15,Lan Cargo S.A.
16,FEDEX
17,CLR Logistics
18,Arranged by SGI - Earth is Clearing
29,Cargo World
20,Customer Arranged Shipping
21,Air Freight
22,Quick N Saf
